id	reviewed_date	location	hotel_restaurant_name	review
rn581181959	Reviewed yesterday 	 Patong	3 Spices Restaurant	The food was average my other half ask for something but mild and they brought it spicy. The place was nice... It was a bit too expensive
rn580277719	Reviewed 6 days ago 	 Patong	3 Spices Restaurant	"nice meal, cocktails were not great but standard of food was excellent and good value, good thai food"
rn574824190	Reviewed 4 weeks ago 	 Patong	3 Spices Restaurant	"We tried a lot of different Thai resturants during our stay and hands down was the best food we had.
Staff were attentive and cost was pretty good compared to other restaurants.More"
rn570500865	"Reviewed April 2, 2018 "	 Patong	3 Spices Restaurant	"The food is really nice, but the staff seem a bit stressed. Seems there was to few waiters for the number of guests. Great value for money.More"
rn569846380	"Reviewed March 31, 2018 "	 Patong	3 Spices Restaurant	Probably one of the yummiest Thai I have ever had food was tasty price was reasonable very happy with our meal we will be back!More
rn566032211	"Reviewed March 12, 2018 "	 Patong	3 Spices Restaurant	"Great drinks, amazing food and lovely service! Will not be disappointed! Our fave restaurant in Phuket!More"
rn565562847	"Reviewed March 9, 2018 "	 Patong	3 Spices Restaurant	We had dinner at 3 spice and the food was very tasty and authentic. The service was friendly and efficient. We loved the green curry and the crispy pork belly. Will be definitely back in future! It is also a great spot to overlook the...More
rn561532305	"Reviewed February 19, 2018 "	 Patong	3 Spices Restaurant	We tried the set menu on offer thou there were loads of selections from the A La Carte menu. Really good food for the price paid. Decent portion which we liked. Try and you won't be disappointed.More
rn560410285	"Reviewed February 14, 2018 "	 Patong	3 Spices Restaurant	Hit or miss... Explains the contrast of reviews. We ate here during the day and there was a man cooking; the food was really good and flavorful. That's why we decided to eat here again the next day but at night time. That was a...More
rn555063755	"Reviewed January 20, 2018 "	 Patong	3 Spices Restaurant	"I have walked by this restaurant many times, and decided to give it a try.
I was not disappointed with the food and the attention to detail service. Kung was our server, she made us feel very comfortable.
The sea bass was delicious, and the...More"
rn554178256	"Reviewed January 16, 2018 "	 Patong	3 Spices Restaurant	"We were tired and took the first restaurant we seen. I had a duck stir fry, it was great... my husband loved his beef stir fry. So it was a good choice. We will be back before we head out."
rn551984655	"Reviewed January 6, 2018 "	 Patong	3 Spices Restaurant	Very happy with the food! We had an entree and shared two mains! we left feeling very full and very satisfied! It was a great final meal in ThailandMore
rn551182562	"Reviewed January 3, 2018 "	 Patong	3 Spices Restaurant	"3 Spices is one of two more expensive / higher end restaurants very close to Patong beach and just like the other one (see one of my other recent reviews), it doesn't disappoint.
It's on the main road just after the beach ends so the...More"
rn550763098	"Reviewed January 1, 2018 "	 Patong	3 Spices Restaurant	"Really had high expectations when we arrived. Restaurant looked modern and new and had a great menu. But sadly we were quite disappointed.
Ultimately the food was just bland. The satay had zero flavor. Our king prawn with tamarind sauce seemed to be missing the...More"
rn547256186	"Reviewed December 14, 2017 "	 Patong	3 Spices Restaurant	"Very nice lunch. Spring rolls, Thai beef salad was fresh, crunchy and had a spicy, sweet delicious dressing. Fried rice and a sea bass stir fry were very tasty. Highly recommended. Very pleasant service. A must try."
rn541344055	"Reviewed November 16, 2017 "	 Patong	3 Spices Restaurant	We came here on our recent vacation for a nice dinner with our 3 year old in tow (fed her beforehand) - the food was excellent. We came based off of reviews - was nervous because it was pretty empty. I had the Tom Kah...More
rn537046476	"Reviewed October 30, 2017 "	 Patong	3 Spices Restaurant	"We visited this restaurant for a set dinner with our 5 year old daughter. The food was fantastic, imaginative and full of taste. I do not normally eat prawns but I made the exception for the rice paper prawn roll and I was glad I...More"
rn534978401	"Reviewed October 21, 2017 "	 Patong	3 Spices Restaurant	"Selected this Restuarant using trip advisor. Once we sat down, we were surprised to see that this is actually a Restuarant associated with the Impiana Hotel.
The service was good, similar to the Impiana Hotel staff. Food quality was average but the portions were very...More"
rn534854699	"Reviewed October 21, 2017 "	 Patong	3 Spices Restaurant	"We had ordered chicken in red curry sauce, and yum talay. The chicken dish tasted authentic but the chicken slices were so hard from extreme overcooking. The salad tasted good but more than half of it was only spring onion with just one or two...More"
rn534049013	"Reviewed October 18, 2017 "	 Patong	3 Spices Restaurant	"We returned to this restaurant after 3 years, and the Thai food was just as tasty...
Very good service
Big and clean bathrooms
The only downside is that during day time it gets a bit too warm, as the ceilings fans are not enough, so...More"
